Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Check-in Zone,Status
PC,780,21/02/2022 7:20,21/02/2022 7:38,D,SAW,ISTANBUL,TURKEY,1,,DEPARTED
LY,2521,21/02/2022 7:25,21/02/2022 7:40,D,PRG,PRAGUE,CZECH REPUBLIC,3,,DEPARTED
TK,811,21/02/2022 7:25,21/02/2022 7:43,D,IST,ISTANBUL,TURKEY,1,,DEPARTED
LX,257,21/02/2022 7:35,21/02/2022 7:47,D,ZRH,ZURICH,SWITZERLAND,3,,DEPARTED
LY,8853,21/02/2022 7:35,21/02/2022 7:47,D,ZRH,ZURICH,SWITZERLAND,3,,DEPARTED
FB,572,21/02/2022 7:10,21/02/2022 7:50,D,SOF,SOFIA,BULGARIA,1,,DEPARTED
QS,1287,21/02/2022 7:10,21/02/2022 7:53,D,PRG,PRAGUE,CZECH REPUBLIC,1,,DEPARTED
6H,7767,21/02/2022 7:10,21/02/2022 7:53,D,PRG,PRAGUE,CZECH REPUBLIC,1,,DEPARTED
52,4XWIA,21/02/2022 8:00,21/02/2022 8:00,D,PFO,PAPHOS,CYPRUS,3,,DEPARTED
6H,421,21/02/2022 8:00,21/02/2022 8:00,D,ETM,RAMON,ISRAEL,1,,CANCELED
LAU,HAJEV,21/02/2022 8:30,21/02/2022 8:13,A,BUD,BUDAPEST,HUNGARY,3,,LANDED
6H,421,21/02/2022 8:00,21/02/2022 8:17,D,ETM,RAMON,ISRAEL,1,,DEPARTED
W6,3257,21/02/2022 8:45,21/02/2022 8:27,A,OTP,BUCHAREST,ROMANIA,3,,LANDED
TK,7708,21/02/2022 8:45,21/02/2022 8:33,A,SAW,ISTANBUL,TURKEY,3,,LANDED
SU,501,21/02/2022 8:20,21/02/2022 8:34,D,SVO,MOSCOW,RUSSIAN FEDERATION,1,,DEPARTED
6H,885,21/02/2022 8:10,21/02/2022 8:37,D,BUS,BATUMI,GEORGIA,3,,DEPARTED
IZ,802,21/02/2022 8:45,21/02/2022 8:41,A,ETM,RAMON,ISRAEL,1,,LANDED
W6,4427,21/02/2022 9:10,21/02/2022 8:51,A,SOF,SOFIA,BULGARIA,3,,LANDED
U8,103,21/02/2022 8:40,21/02/2022 8:55,D,LCA,LARNACA,CYPRUS,1,,DEPARTED
PC,795,21/02/2022 9:10,21/02/2022 8:56,A,SAW,ISTANBUL,TURKEY,3,,LANDED
TK,784,21/02/2022 8:55,21/02/2022 9:01,A,IST,ISTANBUL,TURKEY,3,,LANDED
TK,6068,21/02/2022 8:20,21/02/2022 9:04,A,IST,ISTANBUL,TURKEY,3,,LANDED
3U,3779,21/02/2022 8:55,21/02/2022 9:09,A,CTU,CHENGDU,CHINA,3,,LANDED
LY,323,21/02/2022 9:00,21/02/2022 9:10,D,CDG,PARIS,FRANCE,3,,DEPARTED
6H,426,21/02/2022 9:10,21/02/2022 9:10,A,ETM,RAMON,ISRAEL,1,,CANCELED
6H,426,21/02/2022 9:20,21/02/2022 9:14,A,ETM,RAMON,ISRAEL,1,,LANDED
AA,8371,21/02/2022 9:05,21/02/2022 9:20,D,LHR,LONDON,UNITED KINGDOM,3,,DEPARTED
AM,7863,21/02/2022 9:05,21/02/2022 9:20,D,LHR,LONDON,UNITED KINGDOM,3,,DEPARTED
LY,315,21/02/2022 9:05,21/02/2022 9:20,D,LHR,LONDON,UNITED KINGDOM,3,,DEPARTED
EK,2369,21/02/2022 9:30,21/02/2022 9:28,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,,LANDED
FZ,1549,21/02/2022 9:30,21/02/2022 9:28,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,,LANDED
460,4XCMC,21/02/2022 9:30,21/02/2022 9:29,D,JMK,MYKONOS,GREECE,3,,DEPARTED
FR,2823,21/02/2022 9:50,21/02/2022 9:33,A,ATH,ATHENS,GREECE,3,,LANDED
LAU,HAJEV,21/02/2022 9:30,21/02/2022 9:38,D,BUD,BUDAPEST,HUNGARY,3,,DEPARTED
AA,8389,21/02/2022 9:30,21/02/2022 9:41,D,BCN,BARCELONA,SPAIN,3,,DEPARTED
AM,7891,21/02/2022 9:30,21/02/2022 9:41,D,BCN,BARCELONA,SPAIN,3,,DEPARTED
IB,2392,21/02/2022 9:30,21/02/2022 9:41,D,BCN,BARCELONA,SPAIN,3,,DEPARTED
LY,393,21/02/2022 9:30,21/02/2022 9:41,D,BCN,BARCELONA,SPAIN,3,,DEPARTED
6H,661,21/02/2022 9:25,21/02/2022 9:46,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,,DEPARTED
W6,2325,21/02/2022 10:05,21/02/2022 9:55,A,BUD,BUDAPEST,HUNGARY,3,,LANDED
LY,1076,21/02/2022 10:50,21/02/2022 10:00,A,HKG,HONG KONG,CHINA,3,,LANDED
6H,441,21/02/2022 10:00,21/02/2022 10:00,D,ETM,RAMON,ISRAEL,1,,CANCELED
IZ,807,21/02/2022 9:40,21/02/2022 10:10,D,ETM,RAMON,ISRAEL,1,,DEPARTED
W6,3258,21/02/2022 9:35,21/02/2022 10:12,D,OTP,BUCHAREST,ROMANIA,1,,DEPARTED
FR,7161,21/02/2022 10:30,21/02/2022 10:14,A,VIE,VIENNA,AUSTRIA,3,,LANDED
ICL,501,21/02/2022 10:15,21/02/2022 10:15,A,LGG,LIEGE,BELGIUM,3,,CANCELED
6H,422,21/02/2022 10:15,21/02/2022 10:15,A,ETM,RAMON,ISRAEL,1,,CANCELED
W6,1559,21/02/2022 10:40,21/02/2022 10:20,A,WAW,WARSAW,POLAND,3,,LANDED
6H,422,21/02/2022 10:50,21/02/2022 10:25,A,ETM,RAMON,ISRAEL,1,,LANDED
TK,7709,21/02/2022 9:40,21/02/2022 10:27,D,SAW,ISTANBUL,TURKEY,1,,DEPARTED
JU,8253,21/02/2022 9:50,21/02/2022 10:31,D,IST,ISTANBUL,TURKEY,1,,DEPARTED
TK,785,21/02/2022 9:50,21/02/2022 10:31,D,IST,ISTANBUL,TURKEY,1,,DEPARTED
TK,6069,21/02/2022 9:55,21/02/2022 10:40,D,IST,ISTANBUL,TURKEY,3,,DEPARTED
W6,4428,21/02/2022 10:00,21/02/2022 10:42,D,SOF,SOFIA,BULGARIA,1,,DEPARTED
AM,7868,21/02/2022 11:20,21/02/2022 10:45,A,JFK,NEW YORK,UNITED STATES,3,,LANDED
AR,7852,21/02/2022 11:20,21/02/2022 10:45,A,JFK,NEW YORK,UNITED STATES,3,,LANDED
LY,2,21/02/2022 11:20,21/02/2022 10:45,A,JFK,NEW YORK,UNITED STATES,3,,LANDED
PC,796,21/02/2022 10:10,21/02/2022 10:51,D,SAW,ISTANBUL,TURKEY,1,,DEPARTED
FR,2824,21/02/2022 10:45,21/02/2022 10:56,D,ATH,ATHENS,GREECE,3,,DEPARTED
HU,458,21/02/2022 10:55,21/02/2022 11:03,D,CAN,GUANGZHOU,CHINA,3,,DEPARTED
EZS,1525,21/02/2022 11:25,21/02/2022 11:05,A,GVA,GENEVA,SWITZERLAND,3,,LANDED
EK,2370,21/02/2022 10:30,21/02/2022 11:06,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,,DEPARTED
FZ,1550,21/02/2022 10:30,21/02/2022 11:06,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,,DEPARTED
6H,441,21/02/2022 10:20,21/02/2022 11:08,D,ETM,RAMON,ISRAEL,1,,DEPARTED
FR,8695,21/02/2022 12:15,21/02/2022 11:44,A,NAP,NAPLES,ITALY,3,,LANDED
EK,2363,21/02/2022 11:40,21/02/2022 11:46,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,,LANDED
FZ,1163,21/02/2022 11:40,21/02/2022 11:46,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,,LANDED
FR,6754,21/02/2022 12:10,21/02/2022 11:50,A,BUD,BUDAPEST,HUNGARY,3,,LANDED
FR,7162,21/02/2022 11:20,21/02/2022 11:50,D,VIE,VIENNA,AUSTRIA,3,,DEPARTED
W6,2326,21/02/2022 10:55,21/02/2022 11:57,D,BUD,BUDAPEST,HUNGARY,1,,DEPARTED
MS,591,21/02/2022 12:05,21/02/2022 11:58,A,CAI,CAIRO,EGYPT,3,,LANDED
GF,972,21/02/2022 12:00,21/02/2022 11:59,A,BAH,BAHRAIN,BAHRAIN,3,,LANDED
6H,431,21/02/2022 11:45,21/02/2022 11:59,D,ETM,RAMON,ISRAEL,1,,DEPARTED
AHS,VPCMB,19/02/2022 12:00,21/02/2022 12:00,D,STN,STANSTED,UNITED KINGDOM,3,,CANCELED
LY,30,21/02/2022 12:50,21/02/2022 12:18,A,YYZ,TORONTO,CANADA,3,,LANDED
EZS,1191,21/02/2022 12:25,21/02/2022 12:19,A,BSL,BASEL,SWITZERLAND,3,,LANDED
LY,973,21/02/2022 12:00,21/02/2022 12:20,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,,DEPARTED
W6,1560,21/02/2022 11:30,21/02/2022 12:20,D,WAW,WARSAW,POLAND,1,,DEPARTED
TO,3930,21/02/2022 12:50,21/02/2022 12:21,A,ORY,PARIS,FRANCE,3,,LANDED
EZS,1526,21/02/2022 12:20,21/02/2022 12:30,D,GVA,GENEVA,SWITZERLAND,3,,DEPARTED
IZ,808,21/02/2022 12:35,21/02/2022 12:44,A,ETM,RAMON,ISRAEL,1,,LANDED
6H,442,21/02/2022 12:45,21/02/2022 12:45,A,ETM,RAMON,ISRAEL,1,,CANCELED
EJU,7933,21/02/2022 13:00,21/02/2022 12:50,A,AMS,AMSTERDAM,NETHERLANDS,3,,LANDED
3U,3780,21/02/2022 12:55,21/02/2022 12:55,D,CTU,CHENGDU,CHINA,3,,DEPARTED
PS,775,21/02/2022 12:55,21/02/2022 12:58,A,KBP,KYIV,UKRAINE,3,,LANDED
LAU,N418R,21/02/2022 13:00,21/02/2022 13:00,D,TEB,TETERBORO,UNITED STATES,3,,CANCELED
FR,8696,21/02/2022 13:05,21/02/2022 13:04,D,NAP,NAPLES,ITALY,3,,DEPARTED
AM,7874,21/02/2022 14:00,21/02/2022 13:05,A,LAX,LOS ANGELES,UNITED STATES,3,,LANDED
LY,6,21/02/2022 14:00,21/02/2022 13:05,A,LAX,LOS ANGELES,UNITED STATES,3,,LANDED
6H,442,21/02/2022 13:10,21/02/2022 13:13,A,ETM,RAMON,ISRAEL,1,,LANDED
LY,313,21/02/2022 12:45,21/02/2022 13:16,D,LHR,LONDON,UNITED KINGDOM,3,,DEPARTED
EK,2364,21/02/2022 12:45,21/02/2022 13:17,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,,DEPARTED
FZ,1164,21/02/2022 12:45,21/02/2022 13:17,D,DXB,DUBAI,UNITED ARAB EMIRATES,1,,DEPARTED
LY,26,21/02/2022 14:10,21/02/2022 13:22,A,EWR,NEWARK,UNITED STATES,3,,LANDED
MS,592,21/02/2022 13:05,21/02/2022 13:24,D,CAI,CAIRO,EGYPT,1,,DEPARTED
FR,6755,21/02/2022 13:00,21/02/2022 13:33,D,BUD,BUDAPEST,HUNGARY,3,,DEPARTED
