Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,CheckinCounters,CheckinZone,Status
LX,253,2024-03-10 18:20:00,2024-03-10 19:03:00,D,ZRH,ZURICH,SWITZERLAND,3,21-33,A,DEPARTED
IZ,822,2024-03-10 18:55:00,2024-03-10 19:04:00,A,ETM,RAMON,ISRAEL,3,,,LANDED
AR,7879,2024-03-10 18:00:00,2024-03-10 19:10:00,D,FCO,ROME,ITALY,3,78-99,D,DEPARTED
LY,383,2024-03-10 18:00:00,2024-03-10 19:10:00,D,FCO,ROME,ITALY,3,78-99,D,DEPARTED
TP,8900,2024-03-10 18:00:00,2024-03-10 19:10:00,D,FCO,ROME,ITALY,3,78-99,D,DEPARTED
IZ,363,2024-03-10 19:10:00,2024-03-10 19:32:00,D,SOF,SOFIA,BULGARIA,3,34-38,B,DEPARTED
LY,5108,2024-03-10 19:20:00,2024-03-10 19:35:00,A,TBS,TBILISI,GEORGIA,3,,,LANDED
AI,139,2024-03-10 19:25:00,2024-03-10 19:41:00,A,DEL,NEW DELHI,INDIA,3,,,LANDED
LY,543,2024-03-10 19:15:00,2024-03-10 19:46:00,D,ATH,ATHENS,GREECE,3,78-99,D,DEPARTED
LY,342,2024-03-10 19:10:00,2024-03-10 20:08:00,A,GVA,GENEVA,SWITZERLAND,3,,,LANDED
5F,448,2024-03-10 20:00:00,2024-03-10 20:13:00,D,RMO,CHISINAU,MOLDOVA,3,44-47,B,DEPARTED
6H,891,2024-03-10 20:00:00,2024-03-10 20:15:00,D,TBS,TBILISI,GEORGIA,3,52-55,B,DEPARTED
U8,102,2024-03-10 20:20:00,2024-03-10 20:16:00,A,LCA,LARNACA,CYPRUS,3,,,LANDED
IZ,827,2024-03-10 19:40:00,2024-03-10 20:17:00,D,ETM,RAMON,ISRAEL,3,G12-G18,G,DEPARTED
W4,8287,2024-03-10 20:35:00,2024-03-10 20:29:00,A,FCO,ROME,ITALY,3,,,LANDED
AA,9259,2024-03-10 20:00:00,2024-03-10 20:45:00,A,CDG,PARIS,FRANCE,3,,,LANDED
AM,7862,2024-03-10 20:00:00,2024-03-10 20:45:00,A,CDG,PARIS,FRANCE,3,,,LANDED
LY,324,2024-03-10 20:00:00,2024-03-10 20:45:00,A,CDG,PARIS,FRANCE,3,,,LANDED
SK,3160,2024-03-10 20:00:00,2024-03-10 20:45:00,A,CDG,PARIS,FRANCE,3,,,LANDED
AA,9260,2024-03-10 21:05:00,2024-03-10 21:08:00,A,LHR,LONDON,UNITED KINGDOM,3,,,LANDED
LY,316,2024-03-10 21:05:00,2024-03-10 21:08:00,A,LHR,LONDON,UNITED KINGDOM,3,,,LANDED
IZ,162,2024-03-10 21:35:00,2024-03-10 21:15:00,A,LCA,LARNACA,CYPRUS,3,,,LANDED
LY,5133,2024-03-10 20:30:00,2024-03-10 21:15:00,D,LCA,LARNACA,CYPRUS,3,78-99,D,DEPARTED
LY,974,2024-03-10 21:25:00,2024-03-10 21:24:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,,,LANDED
W4,8288,2024-03-10 21:25:00,2024-03-10 21:48:00,D,FCO,ROME,ITALY,3,39-42,B,DEPARTED
IZ,552,2024-03-10 21:20:00,2024-03-10 22:04:00,A,RVN,ROVANIEMI,FINLAND,3,,,LANDED
IZ,828,2024-03-10 21:45:00,2024-03-10 22:07:00,A,ETM,RAMON,ISRAEL,3,,,LANDED
WZ,15,2024-03-10 22:45:00,2024-03-10 22:11:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,,,LANDED
LY,5130,2024-03-10 21:50:00,2024-03-10 22:12:00,A,RMO,CHISINAU,MOLDOVA,3,,,LANDED
AI,140,2024-03-10 21:10:00,2024-03-10 22:15:00,D,DEL,NEW DELHI,INDIA,3,56-62,C,DEPARTED
6H,723,2024-03-10 21:50:00,2024-03-10 22:19:00,D,SOF,SOFIA,BULGARIA,3,49-52,B,DEPARTED
LY,84,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,,,LANDED
QF,5019,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,,,LANDED
TG,4585,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,,,LANDED
VN,3295,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,,,LANDED
